Date,Close,Volume
1995-01-12 00:00:00-05:00,0.3866444528102875,34702565
1995-01-13 00:00:00-05:00,0.382413387298584,8578034
1995-01-16 00:00:00-05:00,0.40682312846183777,5495430
1995-01-17 00:00:00-05:00,0.41495975852012634,4792982
1995-01-18 00:00:00-05:00,0.41919079422950745,4275131
1995-01-19 00:00:00-05:00,0.39478132128715515,986694
1995-01-20 00:00:00-05:00,0.3905503749847412,4420522
1995-01-23 00:00:00-05:00,0.3905503749847412,1596027
1995-01-24 00:00:00-05:00,0.41495975852012634,4642691
1995-01-25 00:00:00-05:00,0.40291741490364075,2551683
1995-01-26 00:00:00-05:00,0.40291741490364075,2938846
1995-01-27 00:00:00-05:00,0.3866444528102875,1391827
1995-01-30 00:00:00-05:00,0.37037181854248047,1195795
1995-01-31 00:00:00-05:00,0.3661407232284546,20619299
1995-02-01 00:00:00-05:00,0.37037181854248047,9935555
1995-02-02 00:00:00-05:00,0.3866444528102875,12879302
1995-02-03 00:00:00-05:00,0.3986869156360626,6157038
1995-02-06 00:00:00-05:00,0.41495975852012634,9484682
1995-02-07 00:00:00-05:00,0.41495975852012634,10461574
1995-02-08 00:00:00-05:00,0.40682312846183777,15208816
1995-02-09 00:00:00-05:00,0.40682312846183777,3647829
1995-02-10 00:00:00-05:00,0.3986869156360626,8682584
1995-02-13 00:00:00-05:00,0.3986869156360626,684478
1995-02-14 00:00:00-05:00,0.3986869156360626,3133245
1995-02-15 00:00:00-05:00,0.4110543429851532,8326459
1995-02-16 00:00:00-05:00,0.4110543429851532,15587811
1995-02-17 00:00:00-05:00,0.41495975852012634,2744448
1995-02-20 00:00:00-05:00,0.4230959415435791,341422
1995-02-21 00:00:00-05:00,0.43546369671821594,23956744
1995-02-22 00:00:00-05:00,0.43546369671821594,3597187
1995-02-23 00:00:00-05:00,0.43936899304389954,4260429
1995-02-24 00:00:00-05:00,0.43936899304389954,1452270
1995-02-27 00:00:00-05:00,0.45173633098602295,1136986
1995-02-28 00:00:00-05:00,0.4598730206489563,3125077
1995-03-01 00:00:00-05:00,0.4436000883579254,4726005
1995-03-02 00:00:00-05:00,0.43936899304389954,313651
1995-03-03 00:00:00-05:00,0.43546369671821594,8819806
1995-03-06 00:00:00-05:00,0.4230959415435791,1411430
1995-03-07 00:00:00-05:00,0.43123236298561096,6888891
1995-03-08 00:00:00-05:00,0.4475054442882538,19011837
1995-03-09 00:00:00-05:00,0.4680090844631195,5188314
1995-03-10 00:00:00-05:00,0.4637785255908966,2594157
1995-03-13 00:00:00-05:00,0.45564186573028564,5345139
1995-03-14 00:00:00-05:00,0.4637785255908966,2009328
1995-03-15 00:00:00-05:00,0.4680090844631195,1267674
1995-03-16 00:00:00-05:00,0.4761459529399872,1788792
1995-03-17 00:00:00-05:00,0.4719148576259613,4061130
1995-03-20 00:00:00-05:00,0.4800513982772827,5358208
1995-03-21 00:00:00-05:00,0.48428234457969666,477011
1995-03-22 00:00:00-05:00,0.49241867661476135,1723448
1995-03-23 00:00:00-05:00,0.5207333564758301,2110611
1995-03-24 00:00:00-05:00,0.5412375330924988,4160779
1995-03-27 00:00:00-05:00,0.5370063185691833,2863701
1995-03-28 00:00:00-05:00,0.5125973224639893,4859960
1995-03-29 00:00:00-05:00,0.5086918473243713,8935792
1995-03-30 00:00:00-05:00,0.5168279409408569,17448482
1995-03-31 00:00:00-05:00,0.5168279409408569,516218
1995-04-03 00:00:00-04:00,0.5168279409408569,2845731
1995-04-04 00:00:00-04:00,0.5168279409408569,1460438
1995-04-05 00:00:00-04:00,0.5331007838249207,733486
1995-04-06 00:00:00-04:00,0.5249647498130798,1873739
1995-04-07 00:00:00-04:00,0.5207333564758301,3819357
1995-04-10 00:00:00-04:00,0.5044606328010559,3112008
1995-04-11 00:00:00-04:00,0.5207333564758301,7537430
1995-04-12 00:00:00-04:00,0.5207333564758301,6101496
1995-04-13 00:00:00-04:00,0.5207333564758301,7602774
1995-04-17 00:00:00-04:00,0.5207333564758301,99650
1995-04-18 00:00:00-04:00,0.5249647498130798,2084474
1995-04-19 00:00:00-04:00,0.5249647498130798,1906411
1995-04-20 00:00:00-04:00,0.5370063185691833,9667645
1995-04-21 00:00:00-04:00,0.5370063185691833,15710331
1995-04-24 00:00:00-04:00,0.5493739247322083,705715
1995-04-25 00:00:00-04:00,0.5532792210578918,9535323
1995-04-26 00:00:00-04:00,0.5451430678367615,4980846
1995-04-27 00:00:00-04:00,0.5493739247322083,7855982
1995-04-28 00:00:00-04:00,0.5493739247322083,400232
1995-05-01 00:00:00-04:00,0.5614157915115356,2206994
1995-05-02 00:00:00-04:00,0.5776886940002441,7071854
1995-05-03 00:00:00-04:00,0.5776886940002441,1390194
1995-05-04 00:00:00-04:00,0.5656468272209167,1834533
1995-05-05 00:00:00-04:00,0.557510256767273,1027534
1995-05-08 00:00:00-04:00,0.5614157915115356,2180856
1995-05-09 00:00:00-04:00,0.5656468272209167,1070008
1995-05-10 00:00:00-04:00,0.5614157915115356,4508736
1995-05-11 00:00:00-04:00,0.5532792210578918,269544
1995-05-12 00:00:00-04:00,0.5451430678367615,537454
1995-05-15 00:00:00-04:00,0.5532792210578918,519485
1995-05-16 00:00:00-04:00,0.5656468272209167,19679979
1995-05-17 00:00:00-04:00,0.5656468272209167,2354018
1995-05-18 00:00:00-04:00,0.5656468272209167,1855770
1995-05-19 00:00:00-04:00,0.5656468272209167,916450
1995-05-23 00:00:00-04:00,0.569552481174469,2409560
1995-05-24 00:00:00-04:00,0.5819196701049805,1676074
1995-05-25 00:00:00-04:00,0.569552481174469,2942114
1995-05-26 00:00:00-04:00,0.5776886940002441,3317842
1995-05-29 00:00:00-04:00,0.5776886940002441,84947
1995-05-30 00:00:00-04:00,0.5614157915115356,15181045
1995-05-31 00:00:00-04:00,0.5614157915115356,449240
1995-06-01 00:00:00-04:00,0.569552481174469,2208627
1995-06-02 00:00:00-04:00,0.569552481174469,280979
1995-06-05 00:00:00-04:00,0.569552481174469,637104
1995-06-06 00:00:00-04:00,0.5819196701049805,2226597
1995-06-07 00:00:00-04:00,0.585825502872467,2687272
1995-06-08 00:00:00-04:00,0.585825502872467,954022
1995-06-09 00:00:00-04:00,0.5776886940002441,225437
1995-06-12 00:00:00-04:00,0.5819196701049805,823334
1995-06-13 00:00:00-04:00,0.569552481174469,9352360
1995-06-14 00:00:00-04:00,0.5656468272209167,287514
1995-06-15 00:00:00-04:00,0.5737833380699158,2420995
1995-06-16 00:00:00-04:00,0.5614157915115356,147024
1995-06-19 00:00:00-04:00,0.5532792210578918,7708958
1995-06-20 00:00:00-04:00,0.5288703441619873,3665798
1995-06-21 00:00:00-04:00,0.5125973224639893,7514560
